DAY,DEFI_TREASURY_INDEX,NON_DEFI_TREASURY_INDEX,SIRLOIN_INDEX,WBTC_NORMALIZED_PRICE,WBTC_DAILY_RETURN,WETH_NORMALIZED_PRICE,WETH_DAILY_RETURN
2024-03-23 00:00:00.000,296.654041233,147.162343632,146.269058175,208.902580732,-0.003287802639,171.782590162,-0.01455183649
2024-03-22 00:00:00.000,295.912388457,145.122295134,145.271645218,209.5916768,-0.03043963077,174.319255464,-0.02846384052
2024-03-21 00:00:00.000,307.843869717,150.792342016,149.762694426,216.171868666,0.04642529178,179.426420481,0.06836882101
2024-03-20 00:00:00.000,309.553771667,151.824098889,150.241811017,206.581272801,-0.007736744311,167.944268825,-0.008640060009
2024-03-19 00:00:00.000,282.870546052,139.440039781,141.201938786,208.192001081,-0.04966117679,169.407963799,-0.06927840898
2024-03-18 00:00:00.000,299.242537816,152.184487352,150.060208574,219.071341711,0.009893719133,182.017872405,-0.004257388606
2024-03-17 00:00:00.000,314.711406743,155.437624181,153.05410031,216.925145251,-0.01684476751,182.796106466,-0.02624348246
2024-03-16 00:00:00.000,303.835196123,151.384765837,150.172373111,220.641805161,-0.004803602031,187.722601259,-0.01079915691
2024-03-15 00:00:00.000,328.243026715,158.041693932,155.302041743,221.706796379,-0.05170165843,189.771978634,-0.05383762742
2024-03-14 00:00:00.000,335.83338493,163.538156397,158.833854849,233.794352115,-0.006950095901,200.570202466,-0.0224686499
2024-03-13 00:00:00.000,346.479628395,167.791978211,161.825086927,235.430617484,0.01426672946,205.180327408,0.004419570232
2024-03-12 00:00:00.000,333.785990755,166.572716238,161.003719143,232.119037968,0.00876163834,204.277508612,0.004052970565
2024-03-11 00:00:00.000,332.293958032,169.811675541,163.297381806,230.10295906,0.02428277314,203.452919916,0.01489063732
2024-03-10 00:00:00.000,303.64933038,162.996205987,158.667035538,224.647885421,0.01350779659,200.467826221,0.001838254855
2024-03-09 00:00:00.000,319.202625767,165.060139243,159.550216484,221.653830563,0.008677109696,200.09999144,0.0002535359322
2024-03-08 00:00:00.000,281.409887738,164.516040791,158.948740052,219.747061208,0.01260756653,200.049271762,0.02695372623
2024-03-07 00:00:00.000,271.728271699,162.549267798,158.24489453,217.011079584,0.01159228416,194.798720382,0.01192974686
2024-03-06 00:00:00.000,260.956660272,161.616743823,156.910227215,214.524253479,-0.002113689202,192.502217655,0.03179917216
2024-03-05 00:00:00.000,245.473406894,151.079874509,150.904513344,214.978651534,0.01672260251,186.569463176,0.03717373374
2024-03-04 00:00:00.000,258.422361286,152.823062978,152.107345092,211.442778003,0.04829256758,179.882556902,0.02556604564
2024-03-03 00:00:00.000,257.304825727,149.736267377,148.368685988,201.702067288,0.002935311617,175.398315562,0.005748733323
2024-03-02 00:00:00.000,257.493009767,147.726163213,146.800341271,201.111741657,0.001801108126,174.39576084,0.004351772531
2024-03-01 00:00:00.000,256.647122701,147.919894899,147.117494348,200.750168896,-0.00235888173,173.640118542,-0.008568424605
2024-02-29 00:00:00.000,250.542736255,145.290211989,145.004910136,201.224834482,0.0482252671,175.140799276,0.03846595244
2024-02-28 00:00:00.000,258.244725179,144.023635735,145.582395683,191.967166599,0.04952552474,168.653386145,0.0207641683
2024-02-27 00:00:00.000,266.556527975,140.9485857,142.001615673,182.908525875,0.07836492657,165.22267472,0.03915819241
2024-02-26 00:00:00.000,260.691282574,138.348847721,140.222183522,169.616538306,0.01203886814,158.996653183,0.02423798255
2024-02-25 00:00:00.000,256.651137179,136.163486317,138.626536877,167.598837995,0.01068619814,155.234091971,0.02661773167
2024-02-24 00:00:00.000,252.176527179,132.714551811,135.345715351,165.826780165,0.001487603441,151.209244864,0.003267183441
2024-02-23 00:00:00.000,240.512012084,130.961867066,133.577174126,165.5804621,-0.009052638729,150.716825348,-0.005854673479
2024-02-22 00:00:00.000,229.737667298,132.260248283,134.734735947,167.093095528,0.001783794891,151.604419724,0.01096851281
2024-02-21 00:00:00.000,233.052618925,130.049121119,134.77728657,166.795566448,-0.00812732176,149.959586083,0.00008122539009
2024-02-20 00:00:00.000,239.058622705,133.343682908,135.802395002,168.162275368,-0.005591296684,149.947406547,0.01006213443
2024-02-19 00:00:00.000,240.265713883,132.181768238,133.983982348,169.10780729,0.008062361822,148.453646004,0.03602115617
2024-02-18 00:00:00.000,236.252967773,129.291022466,131.953141974,167.755303337,0.003443800028,143.29209893,0.01155880731
2024-02-17 00:00:00.000,227.88986957,126.03977456,129.554108813,167.179570328,-0.00807698752,141.654739096,-0.01304628538
2024-02-16 00:00:00.000,229.075903311,125.683523331,130.067931869,168.540872855,-0.0004759748871,143.527236382,0.00340471444
2024-02-15 00:00:00.000,228.750728974,126.512116486,130.565959562,168.621132279,0.02382847111,143.040225262,0.03461917156
2024-02-14 00:00:00.000,228.444762163,124.815086966,129.319900854,164.696662613,0.02442648522,138.253986775,0.02299281223
2024-02-13 00:00:00.000,222.999518695,120.697338898,125.285104199,160.769625726,0.01920447888,135.146586685,0.04518878447
2024-02-12 00:00:00.000,224.221962211,121.109240444,125.674853139,157.740305364,0.01279619949,129.303517885,0.007163707289
2024-02-11 00:00:00.000,219.33888865,116.057365438,121.328763912,155.747331442,0.01612759622,128.383813822,0.006788712997
2024-02-10 00:00:00.000,217.579343842,116.367863029,121.189616616,153.275368193,0.0140088798,127.518129836,0.008826102286
2024-02-09 00:00:00.000,205.311361629,116.156350225,120.927905201,151.157816511,0.04099130242,126.402488543,0.01855469621
2024-02-08 00:00:00.000,192.221878159,113.896200927,118.892366112,145.205647885,0.03625010004,124.099853462,0.01889354727
2024-02-07 00:00:00.000,193.372589567,113.5683273,118.962886789,140.126064045,0.008438391863,121.798645005,0.02069911368
2024-02-06 00:00:00.000,181.215872627,111.805267637,117.457673617,138.953519795,0.004644954938,119.328647761,0.01561142796
2024-02-05 00:00:00.000,178.273277004,109.136816932,115.195773517,138.311071102,-0.003234552763,117.494392516,0.0009034962275
2024-02-04 00:00:00.000,176.300812796,108.665457643,114.95992497,138.759897311,-0.004718796004,117.3883326,-0.004981205196
2024-02-03 00:00:00.000,177.40120177,109.11846175,115.080384927,139.417781381,0.001301322672,117.975995241,0.002763622332
2024-02-02 00:00:00.000,180.051048957,109.381002173,115.358125297,139.23658965,0.01403026081,117.650852717,0.01308435376
2024-02-01 00:00:00.000,179.501423874,108.969899783,115.260595706,137.310093231,-0.01102032395,116.131349063,-0.01784360469
2024-01-31 00:00:00.000,181.760483664,108.578480965,114.668271141,138.840156736,-0.01206702772,118.241198262,-0.006204819719
2024-01-30 00:00:00.000,190.322365512,114.310156911,116.437810545,140.536008647,0.02358478518,118.979444264,0.02459578661
2024-01-29 00:00:00.000,187.245950197,112.794933765,115.562059199,137.297867927,0.004250243806,116.123300348,0.0001094806181
2024-01-28 00:00:00.000,185.48098008,110.145803123,113.82876031,136.716788245,0.01004710614,116.110588489,0.0024790722
2024-01-27 00:00:00.000,184.789967116,111.218660758,114.134875488,135.35684367,0.02260403859,115.823453784,0.01310330197
2024-01-26 00:00:00.000,180.240337198,110.854763613,114.07688149,132.364863194,0.02377945699,114.32541337,0.0122796754
2024-01-25 00:00:00.000,175.930063652,108.99052232,112.730769743,129.29040751,0.001022392468,112.938564458,-0.007717803836
2024-01-24 00:00:00.000,172.939605111,109.492984258,113.175875212,129.158356979,0.01264990042,113.816981596,-0.01344590548
2024-01-23 00:00:00.000,168.532224212,109.736265525,113.33340977,127.544926361,-0.03216347288,115.368211665,-0.05586314345
2024-01-22 00:00:00.000,177.769280573,112.657262483,115.44584492,131.783542764,-0.02287404249,122.19437348,-0.03277294311
2024-01-21 00:00:00.000,188.177656107,117.589758906,119.617487906,134.86853128,0.001227768514,126.334734548,-0.0001013538446
2024-01-20 00:00:00.000,187.969863607,117.312057199,120.01207255,134.703146997,0.006424171466,126.347540357,0.0003707953001
2024-01-19 00:00:00.000,183.97176859,117.888203236,120.589499757,133.843314595,-0.02228261233,126.300708648,-0.01261943697
2024-01-18 00:00:00.000,187.58223526,117.127276078,119.926868947,136.893663019,-0.01077485572,127.914922956,-0.018842942
2024-01-17 00:00:00.000,198.522729527,119.401058315,121.65426722,138.384738611,-0.005818934112,130.371505676,0.002693437606
2024-01-16 00:00:00.000,198.144940651,122.116336791,123.368974757,139.194703418,0.007842296834,130.021301413,0.009567027622
2024-01-15 00:00:00.000,187.571942177,119.773497198,121.262789137,138.111591323,-0.003917535859,128.789171849,-0.00919046554
2024-01-14 00:00:00.000,183.950429539,118.359311614,120.410185548,138.654776382,-0.002210167277,129.98378333,-0.002510547168
2024-01-13 00:00:00.000,186.105730559,120.79311186,123.092929771,138.961905438,-0.04933227511,130.310935079,-0.02016556547
2024-01-12 00:00:00.000,185.223323886,119.979580914,121.228188056,146.172949601,-0.03211358838,132.992810302,-0.001925238336
2024-01-11 00:00:00.000,190.260483264,123.601447929,124.026659926,151.022834752,0.01865585648,133.249347053,0.08048064087
2024-01-10 00:00:00.000,185.502062171,120.603343769,123.250480088,148.256973925,-0.01988119412,123.32414114,0.05158083915
2024-01-09 00:00:00.000,170.002024844,112.444560011,115.749240731,151.26428861,0.04061099611,117.274998315,0.02011607098
2024-01-08 00:00:00.000,175.25945463,111.283421638,115.587921477,145.361032293,0.01672975055,114.962406388,0.003746800665
2024-01-07 00:00:00.000,171.109918651,108.409951841,112.271114701,142.969193352,0.006714187038,114.533273045,-0.0001552246332
2024-01-06 00:00:00.000,173.02213182,109.139729345,112.898949118,142.015673558,0.0006835881714,114.55105419,0.000177176242
2024-01-05 00:00:00.000,176.589775218,110.123628466,113.561564013,141.918659641,0.006923473663,114.53076206,-0.001030945833
2024-01-04 00:00:00.000,178.667897536,110.72458563,113.68433293,140.942845561,-0.01009719499,114.648958926,-0.02043551918
2024-01-03 00:00:00.000,173.612461995,108.378124383,111.825080692,142.380489123,-0.02969323346,117.040747364,-0.03640320099
2024-01-02 00:00:00.000,184.043064731,113.508263528,116.089848961,146.737603027,0.05822036607,121.462366297,0.03257342139
2024-01-01 00:00:00.000,184.564546546,113.204620938,115.889980128,138.664504797,0.00780807322,117.63073093,0.00375599138
2023-12-31 00:00:00.000,175.703984576,110.675207052,113.901690672,137.590190515,0.007255408172,117.190564181,-0.001598714788
2023-12-30 00:00:00.000,179.366458424,111.618779231,114.254105035,136.599108229,-0.007393225331,117.378218474,-0.01649313996
2023-12-29 00:00:00.000,178.251415507,111.743471005,114.355237937,137.616538306,-0.0127054198,119.346618965,-0.01915149296
2023-12-28 00:00:00.000,182.330602871,113.795278414,115.858525274,139.387515201,0.003748951597,121.676913518,0.04251128586
2023-12-27 00:00:00.000,181.827185702,114.66916695,116.638953328,138.866909877,0.003326720603,116.715200275,0.0211177155
2023-12-26 00:00:00.000,174.39072311,109.421687085,112.204911378,138.406470221,-0.01442466831,114.301415501,-0.01823210513
2023-12-25 00:00:00.000,180.835129121,110.968996911,113.631406966,140.432157513,-0.006659232897,116.424071411,-0.006214333993
2023-12-24 00:00:00.000,175.654904525,110.590789403,113.444403717,141.373597222,-0.0017659478,117.152093649,0.0009889663337
2023-12-23 00:00:00.000,177.121855082,111.32982474,114.710840884,141.623697279,-0.002803278098,117.03634864,-0.002173547297
2023-12-22 00:00:00.000,178.280259829,112.078534469,115.006116414,142.021823947,0.002559583979,117.2912868,0.03455865963
2023-12-21 00:00:00.000,173.513654635,109.198930909,112.346358012,141.659235238,0.01367918691,113.373258933,0.005121633849
2023-12-20 00:00:00.000,172.436605656,107.475232455,111.15854381,139.747601675,0.01133789065,112.795561368,-0.005049194097
2023-12-19 00:00:00.000,172.554107715,107.15523711,110.530338143,138.180921497,0.03211569806,113.367978295,0.02260275262
2023-12-18 00:00:00.000,177.155891337,109.237404483,111.659910316,133.881232266,-0.01390488114,110.862187692,-0.0213765748
2023-12-17 00:00:00.000,177.55777993,109.007378399,111.281955191,135.769085259,-0.007507694374,113.283807476,-0.01088033619
2023-12-16 00:00:00.000,176.362482235,109.609249246,111.965087648,136.796108634,-0.005757686162,114.529931637,-0.009804777058
2023-12-15 00:00:00.000,175.419203991,109.71523235,111.697825005,137.588298879,-0.008898868443,115.663991285,-0.005783683643
2023-12-14 00:00:00.000,183.754742995,112.253340244,114.659876779,138.823672477,0.03035299002,116.336846803,0.03787422596
2023-12-13 00:00:00.000,188.161614189,110.332716391,113.011488471,134.734089988,0.001177717938,112.091469172,-0.008151811426
2023-12-12 00:00:00.000,184.810549566,107.511365807,111.152111705,134.575597892,-0.008176617324,113.012727616,-0.01027517448
2023-12-11 00:00:00.000,184.564752656,109.088849646,111.77647719,135.685042562,-0.04338834315,114.186008779,-0.04752995388
2023-12-10 00:00:00.000,196.509778,113.858797292,115.632527815,141.839210917,-0.0061001993,119.884094249,-0.004520311432
2023-12-09 00:00:00.000,198.043194687,114.057159839,115.241853288,142.70976895,0.007933145144,120.428468432,-0.001184985823
2023-12-08 00:00:00.000,202.412838782,114.773021197,115.680917067,141.586542359,0.00374434971,120.571343765,0.03483827508
2023-12-07 00:00:00.000,204.763611682,114.408515038,115.576005266,141.05837049,-0.006546116865,116.512257682,0.005612768759
2023-12-06 00:00:00.000,195.217857649,110.34302391,111.951972303,141.987839481,0.03529360766,115.861951341,0.01475185743
2023-12-05 00:00:00.000,199.615851108,111.707271571,113.572142982,137.147412512,0.0229043636,114.177619378,0.001646796518
2023-12-04 00:00:00.000,205.947781121,109.879787758,112.05711661,134.076476152,0.04615832277,113.989901205,0.03088441452
2023-12-03 00:00:00.000,203.741587683,107.826190856,110.65229989,128.160789083,0.01636438838,110.574861351,0.02473776446
2023-12-02 00:00:00.000,201.591661293,106.992758386,109.727157291,126.097284151,0.01364860755,107.905520013,0.01120840721
2023-12-01 00:00:00.000,189.801067914,104.643242151,107.358716557,124.399405486,0.01587904079,106.709476744,0.02612347743
2023-11-30 00:00:00.000,186.116051743,103.278541912,106.26345233,122.454938522,-0.003955431877,103.992822591,-0.004810162023
2023-11-29 00:00:00.000,183.775319878,102.742740109,105.580076255,122.941224159,0.01416664252,104.495462697,0.006448205886
2023-11-28 00:00:00.000,190.141748118,103.410741322,106.138197647,121.223888664,0.007227698318,103.825971456,-0.00009781481298
2023-11-27 00:00:00.000,176.362661797,102.449189913,105.479111045,120.354006215,-0.01179864097,103.836128168,-0.02010049443
2023-11-26 00:00:00.000,182.688925174,103.898039572,106.702677962,121.790974193,-0.00379637714,105.966099154,-0.003226708413
2023-11-25 00:00:00.000,182.920284472,104.433906701,107.279158953,122.255100662,0.002412943481,106.309127711,-0.003091936027
2023-11-24 00:00:00.000,180.096030745,103.470614156,107.081415334,121.960816106,0.008130880369,106.638848208,0.01186655665
2023-11-23 00:00:00.000,177.194465849,102.938577157,106.55707305,120.977165248,0.01907829591,105.388252539,0.02272496688
2023-11-22 00:00:00.000,167.743996323,102.730310562,106.616766305,118.712336171,-0.0135971555,103.0465237,0.008162621638
2023-11-21 00:00:00.000,147.792741652,98.928429742,102.850985464,120.348736657,-0.003907425114,102.212204151,-0.009579458294
2023-11-20 00:00:00.000,156.651233405,101.826740769,105.24345773,120.820835022,0.01752631166,103.200812026,0.02862376466
2023-11-19 00:00:00.000,153.169632671,101.107071779,104.883472013,118.739764897,0.004883810813,100.329017831,0.009986789598
2023-11-18 00:00:00.000,148.257977752,99.582715958,103.377194638,118.162680719,0.004304216708,99.336960507,-0.007179612684
2023-11-17 00:00:00.000,147.089496917,99.409944958,103.142724022,117.656262667,-0.01615795272,100.055318944,-0.03270104493
2023-11-16 00:00:00.000,149.627844551,99.494910642,103.313035503,119.588569112,0.0181631822,103.437844546,0.00938414119
2023-11-15 00:00:00.000,149.973258737,102.503508801,106.159178678,117.455208756,0.001256630135,102.476193477,-0.01327843043
2023-11-14 00:00:00.000,141.429909879,100.388068611,103.882716911,117.307796244,-0.01860945134,103.855227896,-0.01444310162
2023-11-13 00:00:00.000,147.318839246,102.956315946,106.329513228,119.532225375,-0.005736365455,105.377201526,0.006344381572
2023-11-12 00:00:00.000,147.113209024,102.631455001,105.854178952,120.221861911,0.0005836424914,104.712863166,-0.005351527326
2023-11-11 00:00:00.000,144.728022943,102.377597856,105.91293454,120.151736252,0.003725977547,105.276251905,-0.01782505345
2023-11-10 00:00:00.000,145.656506444,103.597978936,106.866461401,119.705715444,0.009295007992,107.186863475,0.07216039449
2023-11-09 00:00:00.000,146.154504402,103.334087427,108.13850315,118.603296852,0.03245388389,99.972787679,0.03727049754
2023-11-08 00:00:00.000,140.561382739,97.265665995,100.857765187,114.875152006,0.01298232445,96.380633515,0.001288768118
2023-11-07 00:00:00.000,130.883000136,97.161606328,100.555383627,113.402918525,-0.0006786805022,96.256581102,-0.003314864018
2023-11-06 00:00:00.000,123.212296465,97.571102787,100.937437182,113.479935144,-0.0018397624,96.576719795,0.005082550449
2023-11-05 00:00:00.000,116.520559826,97.510370149,100.809773623,113.689096068,0.00834079331,96.08834593,0.02359949853
2023-11-04 00:00:00.000,115.73301169,95.732293571,99.572733416,112.74868261,0.006897761216,93.87299043,0.01976564892
2023-11-03 00:00:00.000,110.107720306,94.685228507,98.810724278,111.976296853,-0.01742220406,92.053493397,-0.01359475654
2023-11-02 00:00:00.000,105.622669628,93.432412795,97.728248298,113.961761924,0.01618560067,93.322185792,0.007214935917
2023-11-01 00:00:00.000,106.571656138,94.882971534,99.179503842,112.146601811,0.006104531002,92.653695318,0.005880324146
2023-10-31 00:00:00.000,99.035288889,93.687235032,98.139894947,111.466153223,-0.001433162459,92.112046626,0.0005898132998
2023-10-30 00:00:00.000,97.296357754,93.850295838,97.964274396,111.626131604,0.003677480021,92.057749741,0.00789385158
2023-10-29 00:00:00.000,95.624105314,93.604217547,97.550853382,111.21713282,0.007124722407,91.336750985,0.001116048767
2023-10-28 00:00:00.000,93.915436207,92.687701832,96.915642817,110.43034725,0.002919319292,91.234928356,0.001919303663
2023-10-27 00:00:00.000,93.513973064,92.81631791,97.053150572,110.108904202,-0.01089823339,91.060156264,-0.01253681151
2023-10-26 00:00:00.000,96.748961966,93.759256975,97.703908257,111.322118633,0.0001553837432,92.21625406,0.009163888124
2023-10-25 00:00:00.000,96.483929616,93.038673627,97.154197747,111.304823672,0.006984877508,91.378868334,-0.007951838199
2023-10-24 00:00:00.000,91.073192358,92.904931522,97.027121049,110.532765842,0.1029685189,92.111322668,0.06719088129
2023-10-23 00:00:00.000,90.530637969,92.712471499,96.322521331,100.213890015,0.03203170332,86.31194689,0.03355257723
2023-10-22 00:00:00.000,84.754784631,88.719979518,93.021275719,97.103499527,0.004329445962,83.509972102,0.01365762404
2023-10-21 00:00:00.000,84.287501277,87.673693481,91.823548243,96.684907445,0.01253132477,82.384791592,0.009526406287
2023-10-20 00:00:00.000,82.922094241,86.951121165,90.984253878,95.48831239,0.03292092051,81.607366661,0.02582955311
2023-10-19 00:00:00.000,79.445443252,85.48588568,89.677283787,92.444939873,0.003043501845,79.552559598,-0.008658333729
2023-10-18 00:00:00.000,80.095954589,85.416590001,89.592269375,92.164437238,0.0004223982541,80.247368092,-0.005513987495
2023-10-17 00:00:00.000,80.308351136,85.5168707,89.63515579,92.125523578,0.01824815338,80.692304449,0.0003563617838
2023-10-16 00:00:00.000,81.304516527,86.786673658,90.834670109,90.474530469,0.03655967244,80.663559039,0.01496315007
2023-10-15 00:00:00.000,81.018775303,85.529515518,89.322298189,87.283475206,0.00124616193,79.474372083,0.002236778438
2023-10-14 00:00:00.000,81.459124789,85.492863896,89.277533032,87.174841238,0.002722911153,79.297002258,0.004210878282
2023-10-13 00:00:00.000,82.241171646,85.255868906,89.081874573,86.938116471,0.001909053679,78.964492392,-0.001012862819
2023-10-12 00:00:00.000,82.905441517,84.953991247,88.600151785,86.772463181,-0.009710100231,79.044553682,-0.01023136417
2023-10-11 00:00:00.000,84.024779173,85.776044398,89.57635344,87.623294149,-0.0173512882,79.861647278,-0.008835750183
2023-10-10 00:00:00.000,82.712118858,86.019816806,89.666697478,89.170517498,-0.007180423755,80.57357526,-0.01563820586
2023-10-09 00:00:00.000,84.893869588,86.441397758,90.067239784,89.815430347,-0.008636644967,81.853619005,-0.01785285428
2023-10-08 00:00:00.000,86.253959323,88.263364657,91.828786881,90.597892177,-0.001087531378,83.341502708,-0.004799477641
2023-10-07 00:00:00.000,87.665182349,88.61908017,91.900987272,90.696527496,0.01074978994,83.743427415,0.00411585253
2023-10-06 00:00:00.000,88.548625521,88.909816762,92.247687802,89.731928118,0.000551420737,83.400164637,-0.0003493972706
2023-10-05 00:00:00.000,87.456312222,87.990786582,91.128208911,89.682475341,0.005716952514,83.429314611,-0.005743993877
2023-10-04 00:00:00.000,88.223854279,89.082254608,92.288197645,89.172679368,-0.0007842721636,83.911300608,-0.01013921005
2023-10-03 00:00:00.000,89.048621118,89.394756868,92.554518971,89.242669909,-0.01857396524,84.770809654,-0.02819333816
2023-10-02 00:00:00.000,90.443506624,89.426502727,92.814550679,90.931630861,0.03184532708,87.230117865,0.01462291663
2023-10-01 00:00:00.000,94.362446878,91.629263101,95.063132755,88.125253344,0.007840640602,85.972942691,0.004826239933
2023-09-30 00:00:00.000,92.990727875,89.679755399,93.012833376,87.439670315,0.0001962863246,85.560009556,0.006387092573
2023-09-29 00:00:00.000,92.914332037,89.472853113,92.840315359,87.422510472,0.01089461456,85.016998119,0.02143908214
2023-09-28 00:00:00.000,90.643744633,88.466372432,92.34681247,86.480340495,0.01380909614,83.232568251,0.01880559834
2023-09-27 00:00:00.000,87.092116596,86.547575557,90.517245603,85.302391569,0.003482575994,81.696221916,0.006847580582
